"","studyid","country","long","lat","Apr_pre","Aug_pre","Dec_pre","Feb_pre","Jan_pre","Jul_pre","Jun_pre","Mar_pre","May_pre","Nov_pre","Oct_pre","Sep_pre","cohort_index"
"1","CMC-V-BCS-2002","INDIA",78.93,15,4.03442028985507,124.722373188406,32.9873188405797,1.07850241545894,6.68115942028985,60.713768115942,65.7721920289855,0.985960144927536,20.2595108695652,160.886473429952,99.2838164251208,80.1219806763285,0.799166196375953
"2","CMIN Bangladesh93","BANGLADESH",90.1017048915791,24.1063811571604,36.5327536231884,304.944927536232,35.1773913043478,10.944347826087,0.285652173913043,335.311884057971,205.119420289855,23.3866666666667,97.7228985507246,120.463188405797,253.026086956522,310.661449275362,0.792281264751099
"3","CMIN Peru89","PERU",-76.97213,-12.15585,13.9027027027027,0.243243243243243,5.04594594594595,6.87027027027027,7.42792792792793,0.733783783783784,2.86351351351351,9.62027027027027,7.87972972972973,3.45675675675676,7.9945945945946,1.1527027027027,0.598283779707036
"4","CMIN Peru95","PERU",-76.97213,-12.15585,66.6662162162162,0.585135135135135,3.42432432432432,6.99662162162162,14.6547297297297,0.187837837837838,1.05405405405405,13.1378378378378,9.74594594594595,2.86891891891892,2.18310810810811,0.508783783783784,1.04833314874294
"5","CONTENT","PERU",-77.03,-12.04,46.3041988003428,0.474293059125964,3.12339331619537,6.73007712082262,26.7367609254499,0.0025706940874036,0.0424164524421594,1.58526135389889,13.3682519280206,0.212724935732648,1.41452442159383,0.0308483290488432,1.22774674450471
"6","EE","PAKISTAN",68.45,25.6,18.7591304347826,7.22,1.75710144927536,0.0411594202898551,0.597391304347826,7.02695652173913,0.144347826086957,3.7904347826087,29.6478260869565,0.860869565217391,12.6808695652174,50.46,1.01091974315718
"7","GMS-Nepal","NEPAL",86.01,26.84,11.3115942028986,296.020624303233,0,8.01003344481605,0,181.40635451505,42.5964325529543,10.0961538461538,14.8436454849498,128.321070234114,240.173076923077,320.428093645485,1.02804973579121
"8","Guatemala BSC","GUATEMALA",-90.49,14.63,18.2222222222222,252.096955128205,186.673076923077,18.6602564102564,22.9481837606838,334.386217948718,140.144230769231,12.0272435897436,50.1324786324786,280.779647435897,368.044871794872,202.935897435897,0.722175419525783
"9","IRC","INDIA",78.93,12.85,3.16893115942029,95.5929951690821,160.686594202899,6.0006038647343,45.6992753623188,76.7512077294686,86.4094202898551,15.3894927536232,30.3007246376812,126.429951690821,157.988526570048,150.773550724638,0.628744021632362
"10","Keneba","GAMBIA",-16.01,13.33,0,212.079696394687,4.21739130434783,0.0498893105629349,0.0188172043010753,71.9548717102549,2.25121689629569,0.00268817204301075,0.00165002887550532,75.8320270604736,240.542859500041,320.249154360201,1.1671084812597
"11","MAL-ED","BANGLADESH",90.37,23.81,41.9165217391304,317.38,11.84,4.56034782608696,6.71373913043478,402.07347826087,257.426086956522,7.83130434782609,163.57,147.493913043478,220.648260869565,416.394782608696,0.782327375053955
"12","MAL-ED","BRAZIL",-38.54,-3.8,197.768518518519,44.366512345679,9.38966049382716,89.9619341563786,30.3975308641975,94.3202160493827,118.649176954733,173.541152263374,187.731481481481,16.1473765432099,1.61111111111111,5.89197530864198,0.777672174100587
"13","MAL-ED","INDIA",79.13,12.92,8.42255434782609,120.490489130435,148.004981884058,5.40534420289855,62.9061594202899,89.0692934782609,74.8233695652174,17.9873188405797,26.3967391304348,170.230072463768,154.389492753623,156.250452898551,0.621140794608247
"14","MAL-ED","NEPAL",85.43,27.67,23.6955128205128,496.958333333333,0.527564102564103,11.0464743589744,1.41538461538462,256.599358974359,113.299679487179,50.1639957264957,53.3290598290598,88.1474358974359,370.967948717949,413.262019230769,0.969788812598983
"15","MAL-ED","PERU",-73.25,-3.75,285.503605769231,134.12780448718,194.243990384615,242.870192307692,239.567307692308,171.625,164.131009615385,233.488782051282,185.682692307692,178.459935897436,113.797275641026,93.3581730769231,0.235733250799901
"16","MAL-ED","SOUTH AFRICA",30.4,-22.8,54.5959821428571,6.49151785714286,80.958630952381,136.746071428571,138.913392857143,1.26517857142857,16.2004464285714,83.84375,76.2017857142857,56.0185714285714,8.59598214285714,9.45178571428571,0.711330247112315
"17","MAL-ED","TANZANIA, UNITED REPUBLIC OF",35.32,-3.51,123.952380952381,0.168571428571429,94.4409523809524,64.722380952381,123.282285714286,3.79809523809524,21.4347619047619,81.8047619047619,124.86380952381,15.4304761904762,2.84666666666667,1.63380952380952,0.862351672122829
"18","ResPak","PAKISTAN",67.09,24.94,15.3675115207373,7.42741935483871,0,0.785714285714286,2.49078341013825,2.84792626728111,1.77764976958525,15,20.315668202765,1.45468509984639,29.3640552995392,46.2711213517665,0.932091112309769
"19","TanzaniaChild2","TANZANIA, UNITED REPUBLIC OF",39.1,-6.8,123.619952494062,8.64073634204276,71.8260095011877,31.3206650831354,99.4427553444181,16.9287410926366,67.3460015835313,104.202494061758,252.010688836105,46.3224465558195,21.5475059382423,15.8806413301663,0.682463457157833
"20","TDC","INDIA",78.9288,12.8465,4.14130434782609,83.8034420289855,178.643719806763,7.94882246376812,54.3641304347826,84.8514492753623,91.7490942028986,15.201690821256,37.6684782608696,150.163043478261,153.18115942029,151.945652173913,0.599219718170996
